Source,ShoeNum,TableNum,Context,Detail
[A],7,92,Agent 1 avg. pnl/hand,-0.065217
[A],7,92,Agent 2 avg. pnl/hand,0.076087
[A],7,92,Agent 3 avg. pnl/hand,0.206522
[A],7,93,Agent 1 avg. pnl/hand,-0.053763
[A],7,93,Agent 2 avg. pnl/hand,0.086022
[A],7,93,Agent 3 avg. pnl/hand,0.225806
[A],7,94,Agent 1 avg. pnl/hand,-0.063830
[A],7,94,Agent 2 avg. pnl/hand,0.079787
[A],7,94,Agent 3 avg. pnl/hand,0.212766
[A],7,95,Agent 1 avg. pnl/hand,-0.073684
[A],7,95,Agent 2 avg. pnl/hand,0.073684
[A],7,95,Agent 3 avg. pnl/hand,0.189474
[A],7,96,Agent 1 avg. pnl/hand,-0.093750
[A],7,96,Agent 2 avg. pnl/hand,0.062500
[A],7,96,Agent 3 avg. pnl/hand,0.177083
[A],7,97,Agent 1 avg. pnl/hand,-0.072165
[A],7,97,Agent 2 avg. pnl/hand,0.072165
[A],7,97,Agent 3 avg. pnl/hand,0.195876
[A],7,98,Agent 1 avg. pnl/hand,-0.081633
[A],7,98,Agent 2 avg. pnl/hand,0.061224
[A],7,98,Agent 3 avg. pnl/hand,0.183673
[A],7,99,Agent 1 avg. pnl/hand,-0.085859
[A],7,99,Agent 2 avg. pnl/hand,0.055556
[A],7,99,Agent 3 avg. pnl/hand,0.171717
[A],7,100,Agent 1 avg. pnl/hand,-0.075000
[A],7,100,Agent 2 avg. pnl/hand,0.050000
[A],7,100,Agent 3 avg. pnl/hand,0.160000
[A],7,101,Agent 1 avg. pnl/hand,-0.084158
[A],7,101,Agent 2 avg. pnl/hand,0.069307
[A],7,101,Agent 3 avg. pnl/hand,0.158416
[A],7,102,Agent 1 avg. pnl/hand,-0.073529
[A],7,102,Agent 2 avg. pnl/hand,0.078431
[A],7,102,Agent 3 avg. pnl/hand,0.166667
[E],7,103,Shoe Completed,
[A],8,103,Agent 1 avg. pnl/hand,-0.063107
[A],8,103,Agent 2 avg. pnl/hand,0.087379
[A],8,103,Agent 3 avg. pnl/hand,0.174757
[A],8,104,Agent 1 avg. pnl/hand,-0.052885
[A],8,104,Agent 2 avg. pnl/hand,0.096154
[A],8,104,Agent 3 avg. pnl/hand,0.182692
[A],8,105,Agent 1 avg. pnl/hand,-0.061905
[A],8,105,Agent 2 avg. pnl/hand,0.104762
[A],8,105,Agent 3 avg. pnl/hand,0.180952
[A],8,106,Agent 1 avg. pnl/hand,-0.042453
[A],8,106,Agent 2 avg. pnl/hand,0.113208
[A],8,106,Agent 3 avg. pnl/hand,0.193396
[A],8,107,Agent 1 avg. pnl/hand,-0.032710
[A],8,107,Agent 2 avg. pnl/hand,0.121495
[A],8,107,Agent 3 avg. pnl/hand,0.182243
[A],8,108,Agent 1 avg. pnl/hand,-0.032407
[A],8,108,Agent 2 avg. pnl/hand,0.101852
[A],8,108,Agent 3 avg. pnl/hand,0.180556
[A],8,109,Agent 1 avg. pnl/hand,-0.041284
[A],8,109,Agent 2 avg. pnl/hand,0.110092
[A],8,109,Agent 3 avg. pnl/hand,0.197248
[A],8,110,Agent 1 avg. pnl/hand,-0.050000
[A],8,110,Agent 2 avg. pnl/hand,0.100000
[A],8,110,Agent 3 avg. pnl/hand,0.209091
[A],8,111,Agent 1 avg. pnl/hand,-0.040541
[A],8,111,Agent 2 avg. pnl/hand,0.126126
[A],8,111,Agent 3 avg. pnl/hand,0.216216
[A],8,112,Agent 1 avg. pnl/hand,-0.049107
[A],8,112,Agent 2 avg. pnl/hand,0.116071
[A],8,112,Agent 3 avg. pnl/hand,0.232143
[A],8,113,Agent 1 avg. pnl/hand,-0.039823
[A],8,113,Agent 2 avg. pnl/hand,0.110619
[A],8,113,Agent 3 avg. pnl/hand,0.221239
[A],8,114,Agent 1 avg. pnl/hand,-0.026316
[A],8,114,Agent 2 avg. pnl/hand,0.100877
[A],8,114,Agent 3 avg. pnl/hand,0.228070
[A],8,115,Agent 1 avg. pnl/hand,-0.034783
[A],8,115,Agent 2 avg. pnl/hand,0.095652
[A],8,115,Agent 3 avg. pnl/hand,0.217391
[A],8,116,Agent 1 avg. pnl/hand,-0.043103
[A],8,116,Agent 2 avg. pnl/hand,0.112069
[A],8,116,Agent 3 avg. pnl/hand,0.206897
[E],8,117,Shoe Completed,
[A],9,117,Agent 1 avg. pnl/hand,-0.029915
[A],9,117,Agent 2 avg. pnl/hand,0.102564
[A],9,117,Agent 3 avg. pnl/hand,0.222222
[A],9,118,Agent 1 avg. pnl/hand,-0.033898
[A],9,118,Agent 2 avg. pnl/hand,0.093220
[A],9,118,Agent 3 avg. pnl/hand,0.237288
[A],9,119,Agent 1 avg. pnl/hand,-0.042017
[A],9,119,Agent 2 avg. pnl/hand,0.084034
[A],9,119,Agent 3 avg. pnl/hand,0.226891
[A],9,120,Agent 1 avg. pnl/hand,-0.033333
[A],9,120,Agent 2 avg. pnl/hand,0.075000
[A],9,120,Agent 3 avg. pnl/hand,0.233333
[A],9,121,Agent 1 avg. pnl/hand,-0.024793
